"method","n_mean","n_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","budget_fraction_mean","budget_fraction_se","regret_mean","regret_se","rpsel_mean","rpsel_se","n_replicates"
"AB-GP",115.96,0.297467455172641,18.09,0.115634213238432,387.31,1.55446140198149,0.860688888888889,0.00345435867106997,0.0990128954485434,0.00432241137125562,0.179064355140039,0.00263382536588707,1000
"CA-AB-GP",119.872,0.045096004808072,13.265,0.109163600580467,318.847,1.62661287971676,0.708548888888889,0.00361469528825947,0.0816891700324132,0.00336271482656517,0.161342564401685,0.00244321153909494,1000
"IND-GP",118.738,0.160515174114852,18.288,0.0980952530894267,393.058,1.41314458340738,0.873462222222222,0.00314032129646084,0.26989560764017,0.00823951865050556,0.257667422518882,0.00441725220513647,1000
"P-GP",117.672,0.236906185104021,16.54,0.12569088351268,365.772,1.76303440304105,0.812826666666667,0.00391785422898011,0.14561064414531,0.00756156031094645,0.191841783079592,0.00311408785171862,1000
"S-GP",117.806,0.228040273562295,16.153,0.128764013494342,360.101,1.8125545931511,0.800224444444444,0.00402789909589134,0.182005230808501,0.0083667052205435,0.182105316376643,0.00392578216266216,1000
