"scenario","method","n_mean","n_se","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","budget_fraction_mean","budget_fraction_se","n_replicates","rho_mean","rho_se"
1,"S-GP",120,0,0.0839951203587124,0.00500946028751176,0.8875,0.00697440982394872,0.969801138144191,0.00556161161315418,0.117230400152779,0.00216017573218253,0.0836153024054594,0.00238869643751851,16.753,0.132512454322417,287.53,1.32512454322417,0.638955555555555,0.00294472120716481,1000,NA,NA
1,"P-GP",120,0,0.059504531893473,0.00462027084010919,0.9515,0.00489097860061478,0.763379181692017,0.0116662648857292,0.126881868316681,0.0019434371711688,0.0792981039379901,0.00212683650329711,16.263,0.119331768909503,282.63,1.19331768909503,0.628066666666667,0.00265181708687785,1000,NA,NA
1,"IND-GP",120,0,0.133447432838714,0.00601307412143532,0.857,0.0076556913214686,0.753826828283081,0.0133791922739979,0.202480359634827,0.00451032005688232,0.155695787129252,0.00489584575553926,18.397,0.101359087726087,303.97,1.01359087726087,0.675488888888889,0.00225242417169083,1000,NA,NA
1,"AB-GP",120,0,0.0429144299904797,0.0020478187686688,0.946,0.00491000082567285,0.750482280002087,0.0103090031125728,0.119025542947255,0.00150197219965053,0.0756440968072064,0.00169560528916444,18.399,0.144328201089148,303.99,1.44328201089148,0.675533333333333,0.00320729335753663,1000,0.800656319421762,0.00954217780665815
1,"CA-AB-GP",120,0,0.0415503545972124,0.00173007877714213,0.95,0.00479823123901121,0.798914498545032,0.00927419735350224,0.113074960979631,0.00144991136616734,0.0716061402060643,0.00160656546393927,15.632,0.150030280560576,276.32,1.50030280560576,0.614044444444444,0.00333400623467946,1000,0.839815837136668,0.00846983171806903
