"stratum","d1","d2","mu","sd","final_sample_size","unique_doses","repeat_allocation","total_cost","borrowing_index"
1,0.25,0.75,-0.913589438897237,0.0640602841312372,34,13,0.333333333333333,99,0.0743962318208182
2,0.75,0.25,-0.987997086550845,0.0672684746575773,34,13,0.333333333333333,99,0.0743962318208182
