"method","stratum","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","value_regret_mean","value_regret_se","rpsel_mean","rpsel_se","n_replicates"
"AB-GP",1,0.955,0.00655881224140606,0.772927027967296,0.0145187673044816,0.0283144335127418,0.00302243303961053,0.169161485673984,0.00304175866440496,1000
"AB-GP",2,0.816,0.0122594573409386,0.975202150057411,0.0120882957201097,0.0745296655490224,0.00461426461835913,0.207103450124274,0.00355092229768633,1000
"AB-GP",3,0.937,0.00768700787628646,0.369135852995899,0.0191338659674372,0.184515993454307,0.00959980882139464,0.301343670613647,0.00522678745208365,1000
"CA-AB-GP",1,0.973,0.0051280890492753,0.747183766184074,0.0143150739045202,0.0187523557463931,0.0018735364108964,0.138507481114718,0.00212698788367241,1000
"CA-AB-GP",2,0.821,0.0121287306057191,0.979787936495038,0.0113641869151752,0.0640607757977502,0.00367870378244426,0.182222932069202,0.00313287621808044,1000
"CA-AB-GP",3,0.952,0.00676326413366665,0.329866921470301,0.0186691282729049,0.168355982101338,0.00931214024870593,0.289893813941457,0.00528942636280765,1000
"IND-GP",1,0.839,0.0116281646967273,0.894264181171759,0.0165095166013913,0.119830018378143,0.00807683445518597,0.326915974110402,0.00838751602292024,1000
"IND-GP",2,0.801,0.0126316490830991,0.995248930291691,0.018783833451998,0.19240556930585,0.0112276854391008,0.433076106968221,0.0105370212996115,1000
"IND-GP",3,0.716,0.0142670090610312,0.818373381580592,0.0330508300302131,0.350940400655488,0.0146601655867163,0.498208509787403,0.00947065651724774,1000
"P-GP",1,0.916,0.00877616208949111,0.908943656590346,0.0137116533861805,0.0667633049209526,0.00613538386388691,0.202385701835273,0.00370948216394481,1000
"P-GP",2,0.912,0.00896305396259201,0.91542669695298,0.0129290805407572,0.0672824281515485,0.0057621150093275,0.232806828642701,0.00476361621741361,1000
"P-GP",3,0.902,0.00940661918462125,0.341236648141074,0.0221370187144296,0.151633045258187,0.0101288482421639,0.295459550113494,0.00532074925832169,1000
"S-GP",1,0.893,0.0097799103598472,1.0025038559806,0.0120470390509003,0.0775591810834723,0.00668538455391448,0.202147795527264,0.00533664731747824,1000
"S-GP",2,0.885,0.0100934075949046,1.0141607102301,0.0113845360681529,0.0802300725687352,0.00662920873934728,0.200903360536528,0.00532098802758025,1000
"S-GP",3,0.951,0.00682976175614096,0.245037252153349,0.0166202580616298,0.131686120362593,0.00929497283748913,0.258755285287211,0.00535594735244523,1000
