"scenario","method","n_mean","n_se","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","budget_fraction_mean","budget_fraction_se","n_replicates","rho_mean","rho_se"
4,"S-GP",117.806,0.228040273562295,0.182005230808501,0.0083667052205435,0.81,0.00871641990590036,1.01955914419402,0.00947120969663526,0.182105316376643,0.00392578216266216,0.134947523035404,0.00427205221611981,16.153,0.128764013494342,360.101,1.8125545931511,0.800224444444444,0.00402789909589134,1000,NA,NA
4,"P-GP",117.672,0.236906185104021,0.14561064414531,0.00756156031094645,0.8765,0.00771733809725266,0.834478408729799,0.012914036716936,0.191841783079592,0.00311408785171862,0.12413733609016,0.0034791317622159,16.54,0.12569088351268,365.772,1.76303440304105,0.812826666666667,0.00391785422898011,1000,NA,NA
4,"IND-GP",118.738,0.160515174114852,0.26989560764017,0.00823951865050556,0.762,0.00932431997214504,0.942806481338813,0.0150997885280903,0.257667422518882,0.00441725220513647,0.197317729324131,0.00493638905166878,18.288,0.0980952530894267,393.058,1.41314458340738,0.873462222222222,0.00314032129646084,1000,NA,NA
4,"AB-GP",115.96,0.297467455172641,0.0990128954485434,0.00432241137125562,0.8845,0.0068524963850196,0.828505597922032,0.0100275249154435,0.179064355140039,0.00263382536588707,0.118847676359819,0.00286457965762556,18.09,0.115634213238432,387.31,1.55446140198149,0.860688888888889,0.00345435867106997,1000,0.770898482834049,0.0111283407099815
4,"CA-AB-GP",119.872,0.045096004808072,0.0816891700324132,0.00336271482656517,0.911,0.0061739061474173,0.856448627639825,0.00871536331474891,0.161342564401685,0.00244321153909494,0.106048446882947,0.00270116588475066,13.265,0.109163600580467,318.847,1.62661287971676,0.708548888888889,0.00361469528825947,1000,0.790242667084501,0.0111476653083666
