"method","novel_fraction_mean","novel_fraction_se","n_replicates","repeat_fraction_mean","repeat_fraction_se"
"AB-GP",0.272822009170488,0.00203345454301097,1000,0.727177990829512,0.00203345454301097
"CA-AB-GP",0.165511855174624,0.00166311435373074,1000,0.834488144825376,0.00166311435373074
"IND-GP",0.269156758289615,0.00199614458728559,1000,0.730843241710385,0.00199614458728559
"P-GP",0.236301089360308,0.00192233180499484,1000,0.763698910639692,0.00192233180499484
"S-GP",0.228063717972313,0.00189738523326856,1000,0.771936282027687,0.00189738523326856
