"scenario","method","n_mean","n_se","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","budget_fraction_mean","budget_fraction_se","n_replicates","rho_mean","rho_se"
3,"S-GP",45.352,0.14846594942322,0.103008799753741,0.0066212631945487,0.9165,0.00560304775494053,0.601472396548478,0.0099764663890335,0.283791069072454,0.00546457078885425,0.229169545023157,0.00577605077238969,10.251,0.0346872051656256,547.678666666667,0.0541613895943353,0.995779393939394,9.8475253807885e-05,1000,NA,NA
3,"P-GP",50.726,0.213434951398496,0.0970923688919734,0.00576665497886241,0.91475,0.00549728639036185,0.583865051335455,0.00980448070309736,0.273974890045533,0.00392756413873103,0.184885884457888,0.00420131824151333,10.76,0.0428980214023938,547.607333333333,0.0547999831136864,0.995649696969697,9.96363329339769e-05,1000,NA,NA
3,"IND-GP",41.832,0.139165883546015,0.219472873995171,0.00640153688205911,0.8145,0.00613941710933884,0.787098543356588,0.0117076806782639,0.545156092491263,0.00592128047642481,0.472787386871091,0.00644459683296742,10.884,0.0339366423751039,547.682666666667,0.0549432685846287,0.995786666666667,9.98968519720555e-05,1000,NA,NA
3,"AB-GP",51.48,0.298145082955414,0.096347620601416,0.00451978465787908,0.9092,0.00486559698639684,0.598773494004101,0.0083918630129628,0.289877499586081,0.00409359352048091,0.215927372970524,0.00437545691489466,11.609,0.0539725118188141,547.604,0.0555622178187455,0.995643636363636,0.000101022214215903,1000,0.825292533248758,0.00700251196058731
3,"CA-AB-GP",60.882,0.29569157835405,0.0902962826856959,0.00430076739149078,0.92115,0.00422765307831077,0.572445142828245,0.00778491618602077,0.265177699657417,0.003667870132338,0.199974170895834,0.00395556235802414,10.763,0.0496114129237648,547.79,0.0557804257813139,0.995981818181818,0.000101418955966028,1000,0.846284133695991,0.00598731223631515
