"method","n","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","n_replicates"
"AB-GP",20,0.0414458490164262,0.0024400227066248,0.9895,0.00237600408151909,1.01110307461606,0.00286287560629567,0.391611368103926,0.00516437196027423,0.287391418183839,0.00634277177566883,5,0,70,0,1000
"AB-GP",22,0.0925335226734146,0.00542597562638787,0.9275,0.00620743765834843,1.04072516619574,0.00639264279149536,0.356807605263718,0.00516842656158442,0.260105589289636,0.00606069745028848,5.434,0.015680876566375,76.34,0.15680876566375,1000
"AB-GP",24,0.11557676867659,0.00632034641950227,0.883,0.00780204280120738,1.03996615622566,0.00805476404456477,0.33175244973321,0.00467136676372671,0.239489511823691,0.005514829517931,6.09,0.0248700325395549,84.9,0.248700325395549,1000
"AB-GP",26,0.137038345846954,0.0070338758107455,0.842,0.00872422558810306,1.04086360699967,0.00986489411878309,0.333446475538589,0.00524115426830467,0.245381803068208,0.00601641394701391,6.857,0.0277005111562642,94.57,0.277005111562642,1000
"AB-GP",28,0.141579931462131,0.00720605870570068,0.8325,0.00867577195522214,1.03093574860836,0.0100425265788672,0.320182459232729,0.00493595746247985,0.232443788771335,0.00564886435289965,7.58,0.0309929114566631,103.8,0.309929114566631,1000
"AB-GP",30,0.149835504467439,0.00762396283913134,0.8235,0.00925653463416161,1.0341245290608,0.0106490773352879,0.313411184291398,0.00490644066738896,0.228451658969665,0.00564758430709718,8.237,0.0324327439924975,112.37,0.324327439924975,1000
"AB-GP",32,0.130232241674767,0.00646347029080789,0.8355,0.00873304162454388,1.003027592709,0.00918961571667879,0.296850382895198,0.00444294356610311,0.214447717655522,0.00514517855215635,8.827,0.0350471011540084,120.27,0.350471011540084,1000
"AB-GP",34,0.127089556392959,0.0062786347574334,0.835,0.0084762519338943,0.981990995544023,0.00889340221560551,0.286458874327876,0.00438915789605287,0.204065361886638,0.00505056716175153,9.36,0.0363830142198763,127.6,0.363830142198763,1000
"AB-GP",36,0.113997187958141,0.00575040655831405,0.849,0.00785880148373534,0.962166020018897,0.00861502721112272,0.274610334222688,0.00414158161919446,0.194650819953291,0.00476673550637908,9.782,0.0371194538463843,133.82,0.371194538463843,1000
"AB-GP",38,0.099931081383836,0.00492979009252732,0.864,0.00742017917971386,0.943220087108242,0.00768128798886317,0.262443584189002,0.00376754894764796,0.185003245967581,0.00431395219890353,10.176,0.0394281444982969,139.76,0.394281444982969,1000
"AB-GP",40,0.0953918588739165,0.00502160980517048,0.876,0.00722330784171464,0.946362910740972,0.00790087301169782,0.252896406550297,0.00383394622914016,0.177309181297126,0.00434196577705911,10.576,0.040962200891821,145.76,0.40962200891821,1000
"AB-GP",42,0.0855882793180713,0.00417815689023273,0.878,0.00704738715168009,0.927293820178814,0.00715598675533209,0.239994284528517,0.00357253657942708,0.165728108376068,0.00407959174907812,10.944,0.0434136931019321,151.44,0.434136931019321,1000
"AB-GP",44,0.0814036775211142,0.00407491902972013,0.8855,0.00683274735640331,0.922998680509744,0.00735211324507823,0.233794129481468,0.00373815954730221,0.160602270172987,0.0042011998850328,11.306,0.046459902308577,157.06,0.46459902308577,1000
"AB-GP",46,0.0812216321622909,0.00391247397894091,0.8885,0.00677226798152684,0.919833116494766,0.00712181224959534,0.222305492264329,0.00325970039997322,0.149649757612034,0.00368787720048121,11.68,0.0505584429759873,162.8,0.505584429759873,1000
"AB-GP",48,0.076873039777021,0.00347537143796722,0.8815,0.00698258594694734,0.909685909355913,0.0068495989774329,0.215683011173569,0.00317161837167102,0.14497700628002,0.00355345670095738,12.009,0.0545150519663229,168.09,0.545150519663229,1000
"AB-GP",50,0.0769712971377779,0.00372230132864727,0.887,0.00683942817622773,0.898996807555298,0.00751185711720938,0.208494289663733,0.00302500746123828,0.13863977470232,0.00335679997394319,12.339,0.0586132622749708,173.39,0.586132622749708,1000
"AB-GP",52,0.0768332867233849,0.00376478368428799,0.8895,0.0067145241703962,0.896571373675762,0.00771789576026613,0.204619237197033,0.00304273541211598,0.136624555471427,0.00334944405119873,12.694,0.06381564413556,178.94,0.6381564413556,1000
"AB-GP",54,0.0736353449973683,0.00358664825323322,0.893,0.00675252520147808,0.888686385411123,0.00768963413858597,0.199273680600462,0.00293405594129108,0.132653867566056,0.00324165078292537,13.048,0.0683693671929935,184.48,0.683693671929935,1000
"AB-GP",56,0.0726327867853779,0.0034525769847702,0.8955,0.00658582744407437,0.882939097116461,0.00770461308585118,0.195432729901103,0.00278389935265315,0.130115824759588,0.00311205487893927,13.378,0.0741931305487282,189.78,0.741931305487282,1000
"AB-GP",58,0.0733096905862939,0.00369254009545708,0.899,0.006583490133838,0.886604097282095,0.00805602511842101,0.19175941824733,0.00302561862542489,0.127110171451173,0.00334765527943981,13.714,0.0794009351866117,195.14,0.794009351866117,1000
