"method","n_mean","n_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","budget_fraction_mean","budget_fraction_se","regret_mean","regret_se","rpsel_mean","rpsel_se","n_replicates"
"AB-GP",66.266,0.441325290474058,13.378,0.0612770011576193,497.522666666666,0.0492851535423524,0.995045333333333,9.85703070847027e-05,0.0890394711060956,0.00421253214090903,0.22019873049097,0.00308653580337502,1000
"CA-AB-GP",75.606,0.439720499997576,12.17,0.0572746050216008,497.506,0.0473542886217636,0.995011999999999,9.47085772435246e-05,0.0772259696682837,0.00369114620595982,0.197038016249085,0.00276681175939415,1000
"IND-GP",54.264,0.181690162956929,13.206,0.0419442883277726,497.760666666667,0.0479225592262547,0.995521333333333,9.58451184525092e-05,0.210935798339659,0.00647581610231318,0.410151774670848,0.00526382779386267,1000
"P-GP",61.148,0.24997716812658,12.39,0.0546890381236578,497.778,0.0467857339891648,0.995556,9.35714679783297e-05,0.0923799639913017,0.00613212705371765,0.239434194360968,0.00378904010254032,1000
"S-GP",57.294,0.177112768972011,12.153,0.0471997756225474,497.819,0.0474158733212901,0.995638,9.48317466425794e-05,0.0945985303127874,0.00701412160268975,0.218756711958027,0.00498713181989168,1000
