"method","stratum","d1_hat","d2_hat","mu_hat","sd_hat","n","unique_doses","repeat_fraction","total_cost","rho"
"P-GP",1,0,1,-0.349600988090921,0.0339284040978513,42,14,0.181818181818182,349.582417582418,NA
"P-GP",2,1,0,-0.253600326455969,0.0532677262958629,42,14,0.181818181818182,349.582417582418,NA
"AB-GP",1,0,1,-0.436295832424461,0.0171202738295565,58,11,0.684210526315789,347.835164835165,0.282211988255641
"AB-GP",2,1,0,-0.333466489427453,0.0203669389858967,58,11,0.684210526315789,347.835164835165,0.282211988255641
"CA-AB-GP",1,0,1,-0.423485967301782,0.0146927985504306,78,7,0.931034482758621,349.153846153846,0.378261380903917
"CA-AB-GP",2,1,0,-0.29534037407304,0.0165770755600908,78,7,0.931034482758621,349.153846153846,0.378261380903917
