"method","n_mean","n_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","budget_fraction_mean","budget_fraction_se","regret_mean","regret_se","rpsel_mean","rpsel_se","n_replicates"
"AB-GP",51.48,0.298145082955414,11.609,0.0539725118188141,547.604,0.0555622178187455,0.995643636363636,0.000101022214215903,0.096347620601416,0.00451978465787908,0.289877499586081,0.00409359352048091,1000
"CA-AB-GP",60.882,0.29569157835405,10.763,0.0496114129237648,547.79,0.0557804257813139,0.995981818181818,0.000101418955966028,0.0902962826856959,0.00430076739149078,0.265177699657417,0.003667870132338,1000
"IND-GP",41.832,0.139165883546015,10.884,0.0339366423751039,547.682666666667,0.0549432685846287,0.995786666666667,9.98968519720555e-05,0.219472873995171,0.00640153688205911,0.545156092491263,0.00592128047642481,1000
"P-GP",50.726,0.213434951398496,10.76,0.0428980214023938,547.607333333333,0.0547999831136864,0.995649696969697,9.96363329339769e-05,0.0970923688919734,0.00576665497886241,0.273974890045533,0.00392756413873103,1000
"S-GP",45.352,0.14846594942322,10.251,0.0346872051656256,547.678666666667,0.0541613895943353,0.995779393939394,9.8475253807885e-05,0.103008799753741,0.0066212631945487,0.283791069072454,0.00546457078885425,1000
